taxonid,topt,hidden,name,fname,assembly,phylum,subdivision,class,order,family,genus
478441,37.0,0,Halorubrum kocurii,Halorubrum_kocurii,GCA_000337355.1_ASM33735v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubrum
337243,38.0,0,Halorubrum ezzemoulense,Halorubrum_ezzemoulense,GCA_000421805.1_ASM42180v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubrum
409316,40.0,0,Halorubrum litoreum,Halorubrum_litoreum,GCA_000337395.1_ASM33739v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubrum
119434,40.0,0,Halorubrum tebenquichense,Halorubrum_tebenquichense,GCA_000337415.1_ASM33741v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubrum
368623,41.0,0,Halorubrum aidingense,Halorubrum_aidingense,GCA_000336995.1_ASM33699v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubrum
267368,41.0,0,Halorubrum terrestre,Halorubrum_terrestre,GCA_000337435.1_ASM33743v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubrum
368454,42.0,0,Halorubrum arcis,Halorubrum_arcis,GCA_000337015.1_ASM33701v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubrum
368624,46.0,0,Halorubrum lipolyticum,Halorubrum_lipolyticum,GCA_000337375.1_ASM33737v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubrum
2248,50.0,0,Halorubrum saccharovorum,Halorubrum_saccharovorum,GCA_000337915.1_ASM33791v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halorubrum
411361,30.0,0,Halosarcina pallida,Halosarcina_pallida,GCA_000337095.1_ASM33709v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halosarcina
171164,38.0,0,Halosimplex carlsbadense,Halosimplex_carlsbadense,GCA_000337455.1_ASM33745v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halosimplex
353800,37.0,0,Halostagnicola larsenii,Halostagnicola_larsenii,GCA_000517625.1_ASM51762v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halostagnicola
504937,37.0,0,Haloterrigena salina,Haloterrigena_salina,GCA_000337495.1_ASM33749v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloterrigena
413811,41.0,0,Haloterrigena jeotgali,Haloterrigena_jeotgali,GCA_000710605.1_HTGA29.1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloterrigena
1416969,45.0,0,Haloterrigena sp. H13,Haloterrigena_sp._H13,GCA_000690595.1_LPSSH13,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloterrigena
370323,47.0,0,Haloterrigena limicola,Haloterrigena_limicola,GCA_000337475.1_ASM33747v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloterrigena
121872,50.0,0,Haloterrigena thermotolerans,Haloterrigena_thermotolerans,GCA_000337115.1_ASM33711v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloterrigena
543526,51.0,0,Haloterrigena turkmenica DSM 5511,Haloterrigena_turkmenica,GCA_000025325.1_ASM2532v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Haloterrigena
332953,37.0,0,Halovivax asiaticus,Halovivax_asiaticus,GCA_000337515.1_ASM33751v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halovivax
387341,37.0,0,Halovivax ruber,Halovivax_ruber,GCA_000328525.1_ASM32852v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Halovivax
64602,35.0,0,Natrialba asiatica,Natrialba_asiatica,GCA_000337555.1_ASM33755v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Natrialba
160846,37.0,0,Natrialba taiwanensis,Natrialba_taiwanensis,GCA_000337595.1_ASM33759v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Natrialba
547559,38.0,0,Natrialba magadii ATCC 43099,Natrialba_magadii,GCA_000025625.1_ASM2562v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Natrialba
129789,40.0,0,Natrialba aegyptia,Natrialba_aegyptia,GCA_000337535.1_ASM33753v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Natrialba
68911,45.0,0,Natrialba chahannaoensis,Natrialba_chahannaoensis,GCA_000337135.1_ASM33713v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Natrialba
123783,50.0,0,Natrialba hulunbeirensis,Natrialba_hulunbeirensis,GCA_000337575.1_ASM33757v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Natrialba
222984,37.0,0,Natrinema altunense,Natrinema_altunense,GCA_000337155.1_ASM33715v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Natrinema
69525,37.0,0,Natrinema pellirubrum,Natrinema_pellirubrum,GCA_000230735.3_ASM23073v3,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Natrinema
406552,37.0,0,Natrinema sp. J7-2,Natrinema_sp._J7-2,GCA_000281695.1_ASM28169v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Natrinema
419186,38.0,0,Natrinema gari,Natrinema_gari,GCA_000337175.1_ASM33717v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Natrinema
69527,38.0,0,Natrinema pallidum,Natrinema_pallidum,GCA_000337615.1_ASM33761v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Natrinema
88724,43.0,0,Natrinema versiforme,Natrinema_versiforme,GCA_000337195.1_ASM33719v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Natrinema
44930,37.0,0,Natronobacterium gregoryi,Natronobacterium_gregoryi,GCA_000230715.3_ASM23071v3,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Natronobacterium
29288,40.0,0,Natronococcus occultus,Natronococcus_occultus,GCA_000328685.1_ASM32868v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Natronococcus
413812,41.0,0,Natronococcus jeotgali,Natronococcus_jeotgali,GCA_000337695.1_ASM33769v1,Euryarchaeota,Halobacteria,Halobacteria,Halobacteriales,Halobacteriaceae,Natronococcus
